Z2,Heading,H1,needsInitialization,E1,RollGyr,EGyr3,TW,C2,A1,H2,T,W3a,H3,Z1,D2,Pitch,SmoothW2,C1,SmoothGroundSpeed,M1,EGyr1,TWa,EGyr2,Roll,GPSNACp,headingMag,EGyr0,SmoothW1,HeadingGPS,Ta,E0,GPSHorizontalAccuracy,BaroVerticalSpeed,Z3,E3,GroundSpeed,PitchGPS,slipSkid,turnRate,staticMode,EGPS3,A2,M2,C3,GPSFixQuality,W3,HeadingGyr,W2,GPSAltitudeMSL,BaroPressureAltitude,EGPS0,E2,B2,EGPS2,W2a,headingValid,B3,PitchGyr,M3,D1,A3,EGPS1,D3,B1,GPSVerticalAccuracy,W1,RollGPS,W1a,GPSTrueCourse,WValid,gLoad
-0.177251,0.053023,-0.172803,0.000000,0.104046,8.106605,0.706759,-6795364292.841345,0.048773,-0.140507,0.202173,-6795364292.751345,0.000000,-0.172007,-0.196786,0.636311,8.767699,0.000000,0.041263,0.000000,5643.520355,0.103407,-6795364292.841345,-0.003785,8.155430,8.000000,5.738089,0.699846,0.000000,0.000000,-6795364292.811345,0.699737,58.000000,2.058741,-0.951580,0.706773,0.000000,11.500485,-0.184345,-0.002159,1.000000,0.707083,-0.153386,3464.109039,-1.015683,1.000000,0.000000,0.055288,0.000000,60.367455,380.674866,0.694054,-0.003826,0.808741,-0.005858,0.000000,0.000000,0.694296,8.711863,-7328.524836,-1.326792,-0.983306,0.135235,0.508133,-1.541185,116.000000,0.000000,10.551103,0.000000,0.000000,0.000000,0.951786
-0.177603,0.057608,-0.146160,0.000000,0.104568,8.149175,0.706731,-6795364292.731345,0.048773,-0.141118,0.205964,-6795364292.701345,0.000000,-0.167505,-0.196672,0.636311,8.811098,0.000000,0.041263,0.000000,5628.470968,0.103938,-6795364292.841345,-0.003801,8.197505,8.000000,5.739609,0.699796,0.000000,0.000001,-6795364292.751345,0.699687,58.000000,2.058741,-0.951187,0.706745,0.000000,11.492454,-0.184388,-0.002159,1.000000,0.707084,-0.153488,3486.458130,-1.015683,1.000000,0.000000,0.059933,0.000000,60.367455,380.674866,0.694043,-0.003839,0.762963,-0.005700,0.000000,0.000000,0.671407,8.756317,-7350.798930,-1.326792,-0.982859,0.135293,0.508133,-1.541185,116.000000,0.000000,10.568761,0.000000,0.000000,0.000000,0.951709
-0.178233,0.061625,-0.132290,0.000000,0.105087,8.191868,0.706706,-6795364292.731345,0.048773,-0.141850,0.191525,-6795364292.651345,0.000000,-0.155100,-0.196089,0.636311,8.853809,0.000000,0.041263,0.000000,5530.649948,0.104468,-6795364292.731345,-0.003814,8.239902,8.000000,5.738913,0.699742,0.000000,0.000003,-6795364292.701345,0.699634,58.000000,1.193761,-0.951593,0.706720,0.000000,11.462671,-0.184489,-0.002159,1.000000,0.707087,-0.152654,3575.854492,-1.015683,1.000000,0.000000,0.063994,0.000000,60.367455,380.604767,0.694045,-0.003845,0.755333,-0.005344,0.000000,0.000000,0.656148,8.800514,-7350.798930,-1.326792,-0.983612,0.135281,0.508133,-1.518296,116.000000,0.000000,10.596623,0.000000,0.000000,0.000000,0.951715
-0.178338,0.065440,-0.135588,0.000000,0.105585,8.234082,0.706683,-6795364292.641345,0.048773,-0.141769,0.233225,-6795364292.601345,0.000000,-0.158244,-0.196287,0.636311,8.893681,0.000000,0.041263,0.000000,5462.927704,0.104974,-6795364292.731345,-0.003808,8.281615,8.000000,5.737504,0.699690,0.000000,0.000001,-6795364292.651345,0.699583,56.000000,1.193761,-0.951013,0.706697,0.000000,11.466045,-0.184586,-0.002159,1.000000,0.707087,-0.153244,3590.753886,-1.015683,1.000000,0.000000,0.067859,0.000000,60.039368,380.604767,0.694021,-0.003837,0.765506,-0.005260,0.000000,0.000000,0.663778,8.841135,-7380.497721,-1.326792,-0.982615,0.135405,0.508133,-1.584419,112.000000,0.000000,10.613691,0.000000,0.000000,0.000000,0.951620
-0.178009,0.070217,-0.130136,0.000000,0.106086,8.276230,0.706653,-6795364292.641345,0.048773,-0.141179,0.196168,-6795364292.551345,0.000000,-0.173534,-0.197043,0.636311,8.934922,0.000000,0.041263,0.000000,5485.501785,0.105485,-6795364292.641345,-0.003809,8.322618,8.000000,5.737893,0.699643,0.000000,0.000002,-6795364292.601345,0.699536,56.000000,1.170354,-0.951928,0.706668,0.000000,11.490358,-0.184592,-0.002159,1.000000,0.707085,-0.154180,3486.458130,-1.015683,1.000000,0.000000,0.072701,0.000000,60.039368,380.604767,0.694010,-0.003843,0.755333,-0.005504,0.000000,0.000000,0.686666,8.882726,-7373.073024,-1.326792,-0.984222,0.135460,0.508133,-1.514481,112.000000,0.000000,10.598432,0.000000,0.000000,0.000000,0.951690
-0.177659,0.074024,-0.136190,0.000000,0.106575,8.316789,0.706630,-6795364292.531345,0.048773,-0.140833,0.181616,-6795364292.501345,0.000000,-0.152640,-0.196163,0.636311,8.975639,0.000000,0.041263,0.000000,5583.322805,0.105989,-6795364292.641345,-0.003823,8.361993,8.000000,5.738460,0.699590,0.000000,359.999999,-6795364292.551345,0.699485,56.000000,1.170354,-0.951916,0.706645,0.000000,11.463278,-0.184569,-0.002159,1.000000,0.707086,-0.152593,3531.156311,-1.015683,1.000000,0.000000,0.076531,0.000000,60.039368,380.604767,0.694065,-0.003855,0.768049,-0.005452,0.000000,0.000000,0.651062,8.924832,-7425.045909,-1.326792,-0.983713,0.135183,0.508133,-1.508123,112.000000,0.000000,10.579676,0.000000,0.000000,0.000000,0.951712
-0.177538,0.077585,-0.137322,0.000000,0.107050,8.356081,0.706608,-6795364292.531345,0.048773,-0.140812,0.194894,-6795364292.451345,0.000000,-0.150689,-0.196904,0.636311,9.015347,0.000000,0.041263,0.000000,5620.946274,0.106473,-6795364292.531345,-0.003831,8.400303,8.000000,5.738655,0.699539,0.000000,0.000000,-6795364292.501345,0.699435,56.000000,1.502623,-0.951836,0.706623,0.000000,11.485448,-0.184548,-0.002159,1.000000,0.707084,-0.154057,3575.854492,-1.015683,1.000000,0.000000,0.080136,0.000000,60.039368,380.634949,0.694050,-0.003868,0.766778,-0.005650,0.000000,0.000000,0.656148,8.964902,-7395.347117,-1.326792,-0.983673,0.135257,0.508133,-1.533555,112.000000,0.000000,10.569754,0.000000,0.000000,0.000000,0.951721
-0.177262,0.080617,-0.150674,0.000000,0.107507,8.393648,0.706589,-6795364292.431345,0.048773,-0.140467,0.208060,-6795364292.401345,0.000000,-0.142718,-0.196817,0.636311,9.053753,0.000000,0.041263,0.000000,5568.273417,0.106941,-6795364292.531345,-0.003844,8.436845,8.000000,5.737342,0.699486,0.000000,0.000000,-6795364292.451345,0.699383,56.000000,1.502623,-0.951781,0.706605,0.000000,11.489472,-0.184495,-0.002159,1.000000,0.707083,-0.153610,3650.351461,-1.015683,1.000000,0.000000,0.083194,0.000000,60.039368,380.634949,0.694062,-0.003882,0.785852,-0.005760,0.000000,0.000000,0.645975,9.004013,-7321.100138,-1.326792,-0.983591,0.135197,0.508133,-1.546271,112.000000,0.000000,10.555955,0.000000,0.000000,0.000000,0.951725
-0.177706,0.084870,-0.161192,0.000000,0.107965,8.429871,0.706563,-6795364292.431345,0.048773,-0.141240,0.180723,-6795364292.351345,0.000000,-0.164607,-0.197301,0.636311,9.092976,0.000000,0.041263,0.000000,5530.649948,0.107403,-6795364292.431345,-0.003869,8.472652,8.000000,5.738130,0.699442,0.000000,359.999999,-6795364292.401345,0.699339,56.000000,1.473160,-0.951606,0.706579,0.000000,11.510687,-0.184528,-0.002159,1.000000,0.707083,-0.154363,3486.458130,-1.015683,1.000000,0.000000,0.087519,0.000000,60.039368,380.634949,0.694019,-0.003908,0.793481,-0.005797,0.000000,0.000000,0.682852,9.043607,-7373.073024,-1.326792,-0.983428,0.135418,0.508133,-1.503037,112.000000,0.000000,10.571224,0.000000,0.000000,0.000000,0.951705
-0.177749,0.089281,-0.150134,0.000000,0.108411,8.466270,0.706535,-6795364292.331345,0.048773,-0.141077,0.201018,-6795364292.301345,0.000000,-0.172122,-0.197319,0.636311,9.130431,0.000000,0.041263,0.000000,5508.075867,0.107857,-6795364292.431345,-0.003885,8.508377,8.000000,5.736573,0.699399,0.000000,360.000000,-6795364292.351345,0.699297,56.000000,1.473160,-0.952097,0.706552,0.000000,11.513771,-0.184529,-0.002159,1.000000,0.707083,-0.154139,3635.452067,-1.015683,1.000000,0.000000,0.091992,0.000000,60.039368,380.634949,0.694012,-0.003923,0.773136,-0.005800,0.000000,0.000000,0.681580,9.081767,-7380.497721,-1.326792,-0.984202,0.135453,0.508133,-1.543728,112.000000,0.000000,10.573825,0.000000,0.000000,0.000000,0.951766
